dataset,provider,URL,reference_year,publication_date,download_date,license,geographic_scope,industry_resolution,variables,processing_script,checksum
"naio_10_fcp_ii1: EU inter-country input-output table at basic prices, industry by industry (2010-2013)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii1/...CY../?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_dest': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,c0129c15bff90f02cac97af3b6d799c879894abede121abd97625605e7dd4778
"naio_10_fcp_ii1: EU inter-country input-output table at basic prices, industry by industry (2010-2013)",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/naio_10_fcp_ii1/.....CY/?format=SDMX-CSV&compressed=false,see filters,2026-07-18,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,FIGARO 64,"{'c_orig': ['CY'], 'startPeriod': None, 'endPeriod': None}",src/cvr/ingest/eurostat.py,1555ee4b05125e692e40dcfa07e738f590b640bc5ad3c243cef050dc1ebb11b9
bop_eu6_q: European Union and euro area balance of payments - quarterly data (BPM6),Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/bop_eu6_q/A.MIO_EUR.CA+IN1+IN2+D1+D4P__F+D4P__D__F+D4S__D__F5+D42S__D__F5+D43S__D__F5+D4Q__D__FL+D41__D__FLA+D4P__P__F+D4S__P__F5+D42__P__F51+D443__P__F52+D41__P__F3+D4P__O__F+D41__O__FLA+D44P__O__F6+D4P__R__F+D4O+D2+D3+D45.S1.S1.NSA.CRE+DEB+BAL..EU27_2020/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-08-19,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'bop_item': ['CA', 'IN1', 'IN2', 'D1', 'D4P__F', 'D4P__D__F', 'D4S__D__F5', 'D42S__D__F5', 'D43S__D__F5', 'D4Q__D__FL', 'D41__D__FLA', 'D4P__P__F', 'D4S__P__F5', 'D42__P__F51', 'D443__P__F52', 'D41__P__F3', 'D4P__O__F', 'D41__O__FLA', 'D44P__O__F6', 'D4P__R__F', 'D4O', 'D2', 'D3', 'D45'], 'currency': ['MIO_EUR'], 'freq': ['A'], 'geo': ['EU27_2020'], 's_adj': ['NSA'], 'sector10': ['S1'], 'sectpart': ['S1'], 'stk_flow': ['CRE', 'DEB', 'BAL'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,dd837e465160caf5bdaf997eec4da3dffea068939182aa19d6298d7f4ad46fea
lfsa_egan: Employed persons by citizenship,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/lfsa_egan/..T.Y15-64+Y20-64+Y_GE15..CY/?format=SDMX-CSV&compressed=false&startPeriod=2010,see filters,2026-09-10,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'age': ['Y15-64', 'Y20-64', 'Y_GE15'], 'geo': ['CY'], 'sex': ['T'], 'startPeriod': 2010, 'endPeriod': None}",src/cvr/ingest/eurostat.py,39f0d3ae2849b7690b48dc28c0da54fedcb11ce5687c4ca11bece90b367b178c
"FIGARO_ind-by-ind_matrix: FIGARO EU inter-country IO table, ind-by-ind, 2024 (CIRCABC file matrix_eu-ic-io_ind-by-ind_26ed_2024.csv)",Eurostat,https://circabc.europa.eu/rest/download/8ac7da34-911e-4a91-ab1c-8aec1a574381,see filters,2026-06-29,2026-09-24,"Eurostat reuse policy (CC BY 4.0), Commission Decision 2011/833/EU",Cyprus (reporter); partners as listed,NACE aggregates / none,"{'year': 2024, 'source_csv_sha256': 'eade04c433606ae2142eacc2662e1e6cbf0591105e52f3534503847863702f8f', 'source_bytes': 49467405}",src/cvr/ingest/eurostat.py,9e2ffc912f3fb05c52a84c439e8bb4f9fdf4311ae7cdb8d5928aa09d75d4b813
"Balance of payments, annual, BPM6 (2008-2025)",Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/STTBG__BOP__2008-2025_ANNUAL__EN.xls,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,"Balance of payments, annual, BPM6 (2008-2025)",src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,5a90a7adc47fb9b63a7dcfe3f628271d5c09e55dfb6d9592eb412c84d83991a5
"International investment position, annual",Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/QIIP_2008-2025_ANNUAL_EN.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,"International investment position, annual",src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,32754d139703ad1e51445f98c86e95f07edbf69828157ca292ab5f338ee7e212
FDI transactions by country,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Transactions_Data_by_Country_EN0011.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,FDI transactions by country,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,0af3c9722860874c9ef344067440a0d21afdc3f3023f359f0c3f7aeb87e3ce97
FDI transactions by economic activity,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Transactions_Data_by_Economic_Activity_EN0007.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,NACE sections,FDI transactions by economic activity,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,ae68a1494461265ad8c79b7775338c46da5ae60b2d9c881a2726026c8bee75a7
FDI positions by country,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Stock_Data_by_Country_EN0010.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,FDI positions by country,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,277ae72c65efacb65eafc1e4d140f2db84d78eb61d4c40163eb12eb7f95fbe53
FDI positions by economic activity,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_Stock_Data_by_Economic_Activity_EN0009.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,NACE sections,FDI positions by economic activity,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,ecb25a5adcc806bc63162eb5b7582ea5047280ee7f7f76de5b133fd6d1ea0f3f
FDI positions by ultimate investing economy,Central Bank of Cyprus,https://www.centralbank.cy/images/media/xls/Annual_UIE_Stock_Data_by_Country_EN0002.xlsx,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,FDI positions by ultimate investing economy,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,2a78e09ce0b0391245860a96f1aa644ca7b620b84496fe3d2cc1e8ce3c196630
Definition for the identification of SPEs,Central Bank of Cyprus,https://www.centralbank.cy/images/media/redirectfile/External%20Statistics/External%20Statistics/Definition_of_SPEs_EN.pdf,2008-2025,2026-04-02 (BoP last update),2026-09-24,Central Bank of Cyprus website terms - NOT verified for this release; raw files are not redistributed (re-downloaded by URL),Cyprus,none,Definition for the identification of SPEs,src/cvr/ingest/cbc.py; used for the SPE definition and cross-checks,bbae0aaa424e0f83a1c12808e4c9b41f027d836387e092751e51b5963115206b
"Company ownership layer (entities.csv, ownership_edges.csv)","Compiled from company filings (Tier 1-4, per row)",data/raw/companies/SOURCES.md,2024-2026,various,2026-09-24,Facts compiled from public filings; CC BY 4.0 for the compilation,Cyprus operating firms and their owners,NACE 2-digit,"shares, parents, financials where printed",src/cvr/model/ownership_data.py,302b00b1de8a376b2526aa806164d66c9d34a15d8a1ced7ca36e9c7d6d3ba7e3
